"","year","price","mileage","location","age"
"213",2019,26.999,28.747,"NEW_YORK",3
"214",2022,24.949,4.93,"NEW_YORK",0
"215",2019,20.426,27.668,"NEW_YORK",3
"216",2019,24.444,20.231,"NEW_YORK",3
"217",2019,25.998,37.578,"NEW_YORK",3
"218",2019,15.799,61.539,"NEW_YORK",3
"219",2015,13.907,82.889,"NEW_YORK",7
"220",2020,23.997,19.37,"NEW_YORK",2
"221",2017,13.9,81.162,"NEW_YORK",5
"222",2020,16.977,35.794,"NEW_YORK",2
"223",2020,22.495,13.326,"NEW_YORK",2
"224",2021,20.795,28.884,"NEW_YORK",1
"225",2019,25,20.586,"NEW_YORK",3
"226",2020,20.995,16.08,"NEW_YORK",2
"227",2020,22.444,15.479,"NEW_YORK",2
"228",2020,21.9,61.608,"NEW_YORK",2
"229",2020,17.49,58.618,"NEW_YORK",2
"230",2017,12.777,85.468,"NEW_YORK",5
"231",2020,22.494,19.746,"NEW_YORK",2
"232",2020,15.99,50.955,"NEW_YORK",2
"233",2017,17.647,26.623,"NEW_YORK",5
"234",2021,31.995,5.444,"NEW_YORK",1
"235",2019,22.49,24.084,"NEW_YORK",3
"236",2020,21.573,13.197,"NEW_YORK",2
"237",2022,24.588,7.969,"NEW_YORK",0
"238",2020,22.895,23.47,"NEW_YORK",2
"239",2020,22.998,34.329,"NEW_YORK",2
"240",2019,25.639,23.16,"NEW_YORK",3
"241",2021,23.391,10.617,"NEW_YORK",1
"242",2020,29.499,6.651,"NEW_YORK",2
"243",2020,21.557,33.501,"NEW_YORK",2
"244",2021,23.45,59.58,"NEW_YORK",1
"245",2021,20.888,42.082,"NEW_YORK",1
"246",2020,24.799,6.815,"NEW_YORK",2
"247",2019,24.997,30.042,"NEW_YORK",3
"248",2020,28.9,27.346,"NEW_YORK",2
"249",2018,16.8,80.8,"NEW_YORK",4
"250",2020,19.5,61.589,"NEW_YORK",2
"251",2020,21.43,4.562,"NEW_YORK",2
"252",2019,24.79,22.571,"NEW_YORK",3
"253",2017,17.985,33.863,"NEW_YORK",5
"254",2019,23.9,25.741,"NEW_YORK",3
"255",2019,19.995,30.239,"NEW_YORK",3
"256",2020,22.588,12.632,"NEW_YORK",2
"257",2020,16.493,61.19,"NEW_YORK",2
"258",2020,27.995,11.7,"NEW_YORK",2
"259",2019,22.204,43.119,"NEW_YORK",3
"260",2019,23.69,19.246,"NEW_YORK",3
"261",2019,17.998,35.505,"NEW_YORK",3
"262",2021,20.495,43.735,"NEW_YORK",1
"263",2017,13.218,36.947,"NEW_YORK",5
"264",2020,21.9,61.687,"NEW_YORK",2
"265",2021,23.251,3.399,"NEW_YORK",1
"266",2021,21.403,58.808,"NEW_YORK",1
"267",2020,20.744,63.162,"NEW_YORK",2
"268",2020,19.793,59.02,"NEW_YORK",2
"269",2016,14.999,78.37,"NEW_YORK",6
"270",2020,25.49,17.051,"NEW_YORK",2
"271",2019,17.9,45.35,"NEW_YORK",3
"272",2021,27.234,13.582,"NEW_YORK",1
"273",2020,16.888,65.192,"NEW_YORK",2
"274",2020,25.688,3.771,"NEW_YORK",2
"275",2020,21.649,61.004,"NEW_YORK",2
"276",2021,17.99,50.283,"NEW_YORK",1
"277",2019,22.99,36.085,"NEW_YORK",3
"278",2010,6.995,102.717,"NEW_YORK",12
"279",2019,20.994,26.645,"NEW_YORK",3
"280",2019,22.997,4.688,"NEW_YORK",3
"281",2014,12.495,76.5,"NEW_YORK",8
"282",2016,16.39,33.997,"NEW_YORK",6
"283",2019,21.9,40.364,"NEW_YORK",3
"284",2020,25.777,32.556,"NEW_YORK",2
"285",2021,20.429,37.593,"NEW_YORK",1
"286",2020,18.965,49.553,"NEW_YORK",2
"287",2016,15.999,73.045,"NEW_YORK",6
"288",2022,26.59,5.152,"NEW_YORK",0
"289",2020,22.668,29.799,"NEW_YORK",2
"290",2020,21.476,23.052,"NEW_YORK",2
"291",2020,22.997,45.079,"NEW_YORK",2
"292",2021,26.994,5.636,"NEW_YORK",1
"293",2020,16.5,61.077,"NEW_YORK",2
"294",2020,20.905,47.844,"NEW_YORK",2
"295",2017,15.495,64.351,"NEW_YORK",5
"296",2020,21.823,57.822,"NEW_YORK",2
"297",2013,13.995,33.23,"NEW_YORK",9
"298",2022,25,7.14,"NEW_YORK",0
"299",2020,17.501,57.981,"NEW_YORK",2
"300",2019,16,47.083,"NEW_YORK",3
"301",2020,22.24,29.707,"Pennsylvania",2
"302",2021,30.9,5.978,"Pennsylvania",1
"303",2019,23.752,12.835,"Pennsylvania",3
"304",2019,18.986,44.362,"Pennsylvania",3
"305",2020,18.796,58.275,"Pennsylvania",2
"306",2017,14,55,"Pennsylvania",5
"307",2018,20.95,32.405,"Pennsylvania",4
"308",2019,19.997,61.224,"Pennsylvania",3
"309",2018,17.497,41.999,"Pennsylvania",4
"310",2019,17.994,97.969,"Pennsylvania",3
"311",2019,22.498,17.198,"Pennsylvania",3
"312",2017,18.995,23.737,"Pennsylvania",5
"313",2019,22.254,50.352,"Pennsylvania",3
"314",2019,27.925,26.376,"Pennsylvania",3
"315",2009,12.999,118.889,"Pennsylvania",13
"316",2008,6.9,176.247,"Pennsylvania",14
"317",2016,15.99,103.498,"Pennsylvania",6
"318",2016,12.9,75.391,"Pennsylvania",6
"319",2021,22.863,5.912,"Pennsylvania",1
"320",2019,18.888,68.396,"Pennsylvania",3
"321",2016,17.515,65.275,"Pennsylvania",6
"322",2022,28.358,6.097,"Pennsylvania",0
"323",2018,15.99,68.367,"Pennsylvania",4
"324",2011,9.999,122.253,"Pennsylvania",11
"325",2019,26.971,20.495,"Pennsylvania",3
"326",2020,26.284,21.313,"Pennsylvania",2
"327",2018,20.875,45.306,"Pennsylvania",4
"328",2015,15.497,79.516,"Pennsylvania",7
"329",2018,16.5,56,"Pennsylvania",4
"330",2022,24,2.479,"Pennsylvania",0
"331",2018,18.575,90.269,"Pennsylvania",4
"332",2016,12.549,105.443,"Pennsylvania",6
"333",2019,25.218,27.421,"Pennsylvania",3
"334",2019,21.49,25.35,"Pennsylvania",3
"335",2016,14.999,93.694,"Pennsylvania",6
"336",2019,23.5,14.04,"Pennsylvania",3
"337",2012,9.995,105.06,"Pennsylvania",10
"338",2008,3.999,182.054,"Pennsylvania",14
"339",2020,21.245,61.742,"Pennsylvania",2
"340",2012,5.4,102.266,"Pennsylvania",10
"341",2022,34.055,0.223,"Pennsylvania",0
"342",2016,15.7,79.836,"Pennsylvania",6
"343",2020,26.531,15.825,"Pennsylvania",2
"344",2015,12.71,102.726,"Pennsylvania",7
"345",2021,29.9,3.374,"Pennsylvania",1
"346",2020,24.788,32.077,"Pennsylvania",2
"347",2018,20.5,39.845,"Pennsylvania",4
"348",2018,17,57.773,"Pennsylvania",4
